LineNum,Total Initial Tripped Lines,Total Tripped Lines,Total Shedding Load Amount,Total Tripped Generators,Replication Index
5,7,8,1.044,2,1
5,8,13,28.352999999999998,6,2
5,9,11,5.709999999999999,4,3
6,7,8,1.044,2,1
6,8,13,28.352999999999998,6,2
6,9,11,5.709999999999999,4,3
7,7,8,1.044,2,1
7,7,11,20.418000000000003,5,2
7,8,10,5.709999999999999,4,3
8,8,9,1.044,2,1
8,8,13,28.352999999999998,6,2
8,8,11,18.29,5,3
9,8,9,1.044,2,1
9,7,11,25.898,5,2
9,8,10,5.709999999999999,4,3
10,8,9,1.044,2,1
10,7,34,42.29500000000001,6,2
10,9,11,5.709999999999999,4,3
11,8,9,1.044,2,1
11,8,13,28.352999999999998,6,2
11,8,10,7.401,4,3
12,8,9,1.044,2,1
12,8,13,28.352999999999998,6,2
12,9,11,5.709999999999999,4,3
